Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2023-05-15,61456.78515625,64500.0,64600.0,63900.0,64100.0,8172021
2023-05-16,62314.32421875,65400.0,65900.0,65300.0,65800.0,12334657
2023-05-17,61933.19140625,65000.0,65900.0,64800.0,65900.0,10745504
2023-05-18,63076.578125,66200.0,66200.0,65700.0,66000.0,14431704
2023-05-19,65172.77734375,68400.0,68400.0,67500.0,67800.0,20349345
2023-05-22,65268.05078125,68500.0,69000.0,68000.0,68400.0,14470308
2023-05-23,65172.77734375,68400.0,68700.0,68100.0,68500.0,8561643
2023-05-24,65268.05078125,68500.0,68700.0,68000.0,68100.0,8192896
2023-05-25,65553.9140625,68800.0,70000.0,68700.0,69900.0,14231160
2023-05-26,66983.125,70300.0,70400.0,69500.0,69800.0,19549511
2023-05-30,68888.765625,72300.0,72300.0,71200.0,71300.0,27476897
2023-05-31,68031.2265625,71400.0,72500.0,71000.0,72400.0,25666087
2023-06-01,67554.828125,70900.0,71600.0,70600.0,70900.0,14669296
2023-06-02,68793.484375,72200.0,72200.0,71600.0,71700.0,12161798
2023-06-05,68317.09375,71700.0,72700.0,71400.0,72700.0,12686829
2023-06-07,67650.109375,71000.0,71600.0,70800.0,71300.0,14796613
2023-06-08,67554.828125,70900.0,70900.0,70000.0,70400.0,19165568
2023-06-09,68602.9296875,72000.0,72300.0,70800.0,71100.0,15050209
2023-06-12,67650.109375,71000.0,72400.0,70800.0,72100.0,12064287
2023-06-13,68602.9296875,72000.0,72200.0,71600.0,71700.0,13227285
2023-06-14,68507.640625,71900.0,72200.0,71100.0,72100.0,12541046
2023-06-15,68126.5,71500.0,72300.0,71300.0,72100.0,13614994
2023-06-16,68412.359375,71800.0,71900.0,70900.0,71800.0,15373696
2023-06-19,67840.6796875,71200.0,71700.0,70900.0,71300.0,11100887
2023-06-20,68031.2265625,71400.0,71400.0,70400.0,70700.0,11557883
2023-06-21,67173.703125,70500.0,71200.0,70400.0,70700.0,10626603
2023-06-22,67935.9609375,71300.0,71500.0,70100.0,70200.0,11411007
2023-06-23,68221.796875,71600.0,72200.0,71600.0,72000.0,12329484
2023-06-26,68984.0625,72400.0,72500.0,71500.0,71700.0,10541901
2023-06-27,69174.6171875,72600.0,72600.0,72000.0,72500.0,9442997
2023-06-28,69269.890625,72700.0,72700.0,72000.0,72600.0,8783093
2023-06-29,69328.3046875,72400.0,73400.0,72400.0,73100.0,12229967
2023-06-30,69136.7890625,72200.0,72700.0,71700.0,72500.0,11694765
2023-07-03,69902.859375,73000.0,73200.0,72600.0,72700.0,10722181
2023-07-04,69902.859375,73000.0,73600.0,72900.0,73400.0,10214350
2023-07-05,68945.2734375,72000.0,73300.0,71900.0,73000.0,12310610
2023-07-06,68562.25,71600.0,72400.0,71500.0,71900.0,14777667
2023-07-07,66934.3828125,69900.0,71400.0,69800.0,71100.0,17308877
2023-07-10,66551.3515625,69500.0,70400.0,69200.0,70000.0,11713926
2023-07-11,68466.484375,71500.0,71500.0,70100.0,70200.0,12177392
2023-07-12,68849.5234375,71900.0,72000.0,71100.0,71200.0,10375581
2023-07-13,68849.5234375,71900.0,72600.0,71900.0,72400.0,14417279
2023-07-14,70285.8828125,73400.0,73400.0,72400.0,72500.0,15882519
2023-07-17,70190.1171875,73300.0,73500.0,72800.0,73200.0,10060049
